id,p_fused_raw,p_fused_bcts,p_cnn,p_vit,branch_disagree,p_empirical_corr,p_em_corr,pred_original,pred_empirical,pred_em_corr,pred_disagree
000001.jpg,0.8919028043746948,0.8855752348899841,0.7863678932189941,0.9974377155303955,0.21106982231140137,0.8468922275880025,0.8979836838266979,1,1,1,1
000002.jpg,0.0006733000627718866,0.013739561662077904,0.00031476971344091,0.0010318304412066936,0.0007170607277657837,0.009858340268881247,0.015597220124166313,0,0,0,0
000003.jpg,0.13909991085529327,0.3556237518787384,0.0002563180751167238,0.27794349193573,0.27768717386061326,0.28286415090111583,0.38563194472799894,0,0,0,0
000004.jpg,0.997538685798645,0.9906313419342041,0.999729573726654,0.995347797870636,0.004381775856018066,0.9869403772585648,0.9917533890142627,1,1,1,1
000005.jpg,0.6810538172721863,0.7574539184570312,0.9987512826919556,0.3633563816547394,0.6353949010372162,0.6905905816796363,0.7803092648210583,1,1,1,0
000006.jpg,0.9199756383895874,0.9062786102294922,0.9772317409515381,0.8627194762229919,0.11451226472854614,0.8735955434682541,0.9166531639324279,1,1,1,1
000007.jpg,6.243056850507855e-05,0.002812808146700263,3.3756641641957685e-06,0.00012148547102697194,0.00011810980686277617,0.002011935186375978,0.0031979044277560694,0,0,0,0
000008.jpg,0.043913569301366806,0.19171030819416046,8.608886855654418e-05,0.08774104714393616,0.08765495827537961,0.1449434255283545,0.21244729177831848,0,0,0,0
000009.jpg,0.9810170531272888,0.9636722803115845,0.9992398023605347,0.962794303894043,0.0364454984664917,0.9498974309121765,0.9679185351944872,1,1,1,1
000010.jpg,0.038850337266922,0.17876558005809784,0.02722952887415886,0.050471145659685135,0.023241616785526276,0.13463053054549073,0.1984461186488716,0,0,0,0
000011.jpg,0.014024648815393448,0.09744385629892349,0.00419257115572691,0.02385672554373741,0.019664154388010502,0.0716348365905224,0.10936382013539021,0,0,0,0
000012.jpg,0.5720827579498291,0.6951638460159302,0.9998412132263184,0.14432425796985626,0.8555169552564621,0.619749223916899,0.7217325027624552,1,1,1,0
000013.jpg,0.009780011139810085,0.07792599499225616,0.0006664422107860446,0.01889358088374138,0.018227138672955334,0.05696023814592914,0.08769037883437272,0,0,0,0
000014.jpg,0.9324505925178528,0.9162036180496216,0.9880796074867249,0.8768215775489807,0.11125802993774414,0.8865483676997881,0.9255697358305829,1,1,1,1
000015.jpg,0.5074950456619263,0.6569106578826904,0.044858913868665695,0.9701312184333801,0.9252723045647144,0.577780357668844,0.6853040970357156,1,1,1,0
000016.jpg,0.024074556306004524,0.1351364403963089,0.002933191368356347,0.045215919613838196,0.04228272824548185,0.1004553029359576,0.1508963477530757,0,0,0,0
000017.jpg,0.9196712970733643,0.9060429930686951,0.9999996423721313,0.8393428921699524,0.16065675020217896,0.8732892661612616,0.9164412360725365,1,1,1,1
000018.jpg,0.39106258749961853,0.5822688341140747,0.7247989177703857,0.057326238602399826,0.6674726791679859,0.4990512717985311,0.613202243015606,0,0,1,0
000019.jpg,0.9998114705085754,0.9983201622962952,0.9999982118606567,0.9996247291564941,0.00037348270416259766,0.9976512401855184,0.9985227638332479,1,1,1,1
000020.jpg,0.008314370177686214,0.07038005441427231,0.000549788645002991,0.016078950837254524,0.015529162192251533,0.05133148888794886,0.07928020353364813,0,0,0,0
000021.jpg,0.0004660171689465642,0.010762802325189114,1.3073886862002837e-08,0.0009320212411694229,0.0009320081672825609,0.007715892351812623,0.012222975576159648,0,0,0,0
000022.jpg,0.031213892623782158,0.15749484300613403,0.013006097637116909,0.04942168667912483,0.03641558904200792,0.1178576227567691,0.17533361362630182,0,0,0,0
000023.jpg,0.9994545578956604,0.9965775609016418,0.9999992847442627,0.9989098310470581,0.0010894536972045898,0.9952179645190706,0.9969896476113133,1,1,1,1
000024.jpg,0.4649980664253235,0.6307114362716675,0.0007501831278204918,0.9292459487915039,0.9284957656636834,0.5496808001301586,0.6601513688699105,0,1,1,0
000025.jpg,0.014625520445406437,0.09998611360788345,0.00015455955872312188,0.029096480458974838,0.028941920900251716,0.0735586327978489,0.1121784171409804,0,0,0,0
000026.jpg,0.3478013873100281,0.5516400933265686,0.06686851382255554,0.6287342309951782,0.5618657171726227,0.46789682367792435,0.5832181008471014,0,0,1,0
000027.jpg,0.9775197505950928,0.959388256072998,0.9995567202568054,0.9554827213287354,0.04407399892807007,0.9440832654273725,0.9641166337133608,1,1,1,1
000028.jpg,0.6462042927742004,0.7376676797866821,0.9808171987533569,0.31159138679504395,0.669225811958313,0.6677424496380511,0.7618011763961725,1,1,1,0
000029.jpg,0.7688291668891907,0.8078759908676147,0.9997331500053406,0.5379251837730408,0.4618079662322998,0.750331064268854,0.8270648590640138,1,1,1,0
000030.jpg,0.5831088423728943,0.7015557885169983,0.9462428092956543,0.21997487545013428,0.72626793384552,0.6268737227343426,0.7277854936623033,1,1,1,0
000031.jpg,0.7987681031227112,0.8256405591964722,0.999998927116394,0.5975372791290283,0.4024616479873657,0.7719141662629074,0.8433990144692637,1,1,1,0
000032.jpg,0.02672472409904003,0.1437676101922989,1.650101012273808e-06,0.053447797894477844,0.05344614779346557,0.1071458019825652,0.16034747105880556,0,0,0,0
000033.jpg,0.5053303241729736,0.6555989980697632,0.9758875966072083,0.03477301448583603,0.9411145821213722,0.5763612286352712,0.6840487412451515,1,1,1,0
000034.jpg,0.9601469039916992,0.9407981634140015,0.922205924987793,0.9980878233909607,0.07588189840316772,0.9190780798866358,0.9475725948467565,1,1,1,1
000035.jpg,0.026370348408818245,0.14263798296451569,3.5293312521389453e-06,0.052737168967723846,0.05273363963647171,0.1062682174592918,0.159111788342217,0,0,0,0
000036.jpg,0.13286092877388,0.3474949598312378,0.00030742696253582835,0.26541441679000854,0.2651069898274727,0.27568695065174126,0.37721878074916815,0,0,0,0
000037.jpg,0.602470874786377,0.712709367275238,0.2893936038017273,0.9155481457710266,0.6261545419692993,0.63938370794398,0.738324457523389,1,1,1,0
000038.jpg,0.55224609375,0.6835759878158569,0.9969133138656616,0.10757885873317719,0.8893344551324844,0.6069156746985622,0.7107343909697572,1,1,1,0
000039.jpg,0.3043127655982971,0.5185602903366089,0.0043905749917030334,0.6042349338531494,0.5998443588614464,0.4349670719425238,0.5505700217526506,0,0,1,0
000040.jpg,0.023264963179826736,0.13241063058376312,0.002025860594585538,0.044504065066576004,0.042478204471990466,0.09834948613904679,0.1479070084999902,0,0,0,0
000041.jpg,0.0006895953556522727,0.013958991505205631,0.0007909268606454134,0.000588263850659132,0.0002026630099862814,0.010016414321603665,0.01584584187648184,0,0,0,0
000042.jpg,0.5397804975509644,0.6762275695800781,0.9680948853492737,0.11146609485149384,0.8566287904977798,0.5988317744333784,0.7037433556691077,1,1,1,0
000043.jpg,0.9382424354553223,0.9210131168365479,0.9734112620353699,0.9030735492706299,0.07033771276473999,0.8928609638295236,0.9298828526371773,1,1,1,1
000044.jpg,0.4932374954223633,0.6482290625572205,0.38383010029792786,0.6026448607444763,0.21881476044654846,0.5684119565785507,0.6769876907349873,0,1,1,1
000045.jpg,0.9981915950775146,0.9923727512359619,0.9996020197868347,0.9967811107635498,0.002820909023284912,0.9893603846166018,0.9932875892875311,1,1,1,1
000046.jpg,0.05055183917284012,0.20755305886268616,0.00019618376973085105,0.10090749710798264,0.10071131333825178,0.15767530607192806,0.22951710242892123,0,0,0,0
000047.jpg,0.99116051197052,0.9780811667442322,1.0,0.98232102394104,0.01767897605895996,0.9695974609556197,0.980676916144949,1,1,1,1
000048.jpg,0.9922729730606079,0.9799506664276123,0.9976149797439575,0.9869310259819031,0.010683953762054443,0.9721700477180696,0.9823290733762768,1,1,1,1
000049.jpg,0.00025841486058197916,0.007268731482326984,6.914253754075617e-05,0.0004476871981751174,0.0003785446606343612,0.005205775067271795,0.00825882733812218,0,0,0,0
